"","t","x","y","z","v","w"
"112",2.22,83.967024579424,13.228870960305,2.99137868011425,2.99268109881217,3.20943572323421
"113",2.24,83.6225200353996,13.5118614843626,3.05532425574344,3.03992455958246,3.2539468236251
"114",2.26,83.3760438317094,13.7128453086206,3.10101402500382,3.06839701504161,3.27833438756018
"115",2.28,83.1356671990403,13.9085022000775,3.14576297657059,3.09548010135798,3.3012052962903
"116",2.3,83.1561802094986,13.8894985122489,3.14221590616355,3.07485672236144,3.27325957993341
"117",2.32,83.0086872478948,14.0079685909688,3.16994173445933,3.08484499679945,3.27788942867084
"118",2.34,82.8254995707534,14.1556716747493,3.2045159515011,3.10124135302986,3.28931273103087
"119",2.36,82.9421048082749,14.0581648501299,3.18380425010478,3.06412737467645,3.2440695559889
"120",2.38,82.5642297517304,14.3674084943804,3.25536093214115,3.11572069481575,3.29264664513108
"121",2.4,82.2885700280065,14.5910384278881,3.30785480679193,3.14841061512954,3.32121182802388
"122",2.42,82.3163315607956,14.5649745514575,3.3040081624502,3.12726039870537,3.29304353131523
"123",2.44,82.3649506526079,14.5218493904815,3.29642647399423,3.10278551397584,3.26142793839674
"124",2.46,82.207782607728,14.6469284869128,3.32717639687353,3.11442711405303,3.2677600439535
"125",2.48,82.45081752546,14.4466905685635,3.28420872460346,3.05721305959766,3.20197072499291
"126",2.5,82.6333589017975,14.2950609721876,3.25230167881574,3.01090198924633,3.14768741086981
"127",2.52,82.7769895809555,14.1747698015913,3.22756303695204,2.9717140177772,3.10092825606061
"128",2.54,82.7527583332007,14.1905837235306,3.23389283843789,2.96140869932058,3.0843311417945
"129",2.56,82.3881888875082,14.4871478215296,3.30440846656892,3.00962442779071,3.12859976212193
"130",2.58,82.4817587203543,14.406880144544,3.28925409174635,2.97954317616747,3.09156076822746
"131",2.6,82.7619820270887,14.1765890674568,3.2398822422254,2.91895082268313,3.02298738939992
"132",2.62,82.9236748901202,14.0413877447164,3.21220798957355,2.87851111009132,2.97536312367853
"133",2.64,82.6654890846623,14.2489682981591,3.26304923917921,2.90850772100269,3.00048759346365
"134",2.66,82.6372971327693,14.2673095670431,3.27080354420129,2.89985675042014,2.98578109832406
"135",2.68,82.5048854032645,14.3707623527229,3.29823028092003,2.90860165626868,2.98897984140991
"136",2.7,82.5359647361076,14.3406332441446,3.29517366107772,2.89043377857647,2.96457408195131
